tick,time,steerCmd,brakeCmd,throttleCmd,distance1,distance2
1717,22:25:03:788,-22.500000335276127,0.0,1.0,129.5971727685105,72.59760803249563
1718,22:25:03:805,-22.500000335276127,0.0,1.0,129.5971727685105,72.59760803249563
1719,22:25:03:820,-22.500000335276127,0.0,1.0,129.5971727685105,72.59760803249563
1720,22:25:03:837,-22.500000335276127,0.0,1.0,129.5971727685105,72.59760803249563
1721,22:25:03:853,-22.500000335276127,0.0,1.0,129.5971727685105,72.59760803249563
1722,22:25:03:867,-22.500000335276127,0.0,1.0,129.5971727685105,72.59760803249563
1723,22:25:03:884,-22.500000335276127,0.0,1.0,129.5971727685105,72.59760803249563
1724,22:25:03:900,-22.500000335276127,0.0,1.0,129.5971727685105,72.59760803249563
1725,22:25:03:955,0.0,0.0,1.0,126.17216108486116,69.82341469298359
1726,22:25:03:959,0.0,0.0,1.0,125.6166670843256,69.37984036334724
1727,22:25:03:977,0.0,0.0,1.0,125.6166670843256,69.37984036334724
1728,22:25:03:992,0.0,0.0,1.0,125.6166670843256,69.37984036334724
1729,22:25:04:007,0.0,0.0,1.0,124.68113495733967,68.63656213776292
1730,22:25:04:024,0.0,0.0,1.0,124.68113495733967,68.63656213776292
1731,22:25:04:040,0.0,0.0,1.0,124.68113495733967,68.63656213776292
1732,22:25:04:183,0.0,0.0,1.0,122.75192446801738,67.11765111557884
1733,22:25:04:188,0.0,0.0,1.0,120.76616030040623,65.57441380338798
1734,22:25:04:204,0.0,0.0,1.0,120.76616030040623,65.57441380338798
1735,22:25:04:222,0.0,0.0,1.0,120.25849410492577,65.1828983018975
1736,22:25:04:236,0.0,0.0,1.0,120.25849410492577,65.1828983018975
1737,22:25:04:320,0.0,0.0,1.0,118.84849486798075,64.10126084501438
1738,22:25:04:325,0.0,0.0,1.0,117.84924908585542,63.33982123433254
1739,22:25:04:342,0.0,0.0,1.0,117.84924908585542,63.33982123433254
1740,22:25:04:358,0.0,0.0,1.0,117.84924908585542,63.33982123433254
1741,22:25:04:372,0.0,0.0,1.0,117.84924908585542,63.33982123433254
1742,22:25:04:391,0.0,0.0,1.0,117.84924908585542,63.33982123433254
1743,22:25:04:406,0.0,0.0,1.0,117.84924908585542,63.33982123433254
1744,22:25:04:421,0.0,0.0,1.0,117.84924908585542,63.33982123433254
1745,22:25:04:438,0.0,0.0,1.0,117.84924908585542,63.33982123433254
1746,22:25:04:454,0.0,0.0,1.0,117.84924908585542,63.33982123433254
1747,22:25:04:508,0.0,0.0,1.0,114.26172616559563,60.63502398097683
1748,22:25:04:512,0.0,0.0,1.0,113.75933376434696,60.25956986925195
1749,22:25:04:531,0.0,0.0,1.0,113.75933376434696,60.25956986925195
1750,22:25:04:550,0.0,0.0,1.0,113.75933376434696,60.25956986925195
1751,22:25:04:561,0.0,0.0,1.0,112.79803020648896,59.544478938380244
1752,22:25:04:579,0.0,0.0,1.0,112.79803020648896,59.544478938380244
1753,22:25:04:593,0.0,0.0,1.0,112.79803020648896,59.544478938380244
1754,22:25:04:733,0.0,0.0,0.0,110.79834857312035,58.06369503891562
1755,22:25:04:738,0.0,0.0,0.0,108.78543937925029,56.585531457930266
1756,22:25:04:755,0.0,0.0,0.0,108.78543937925029,56.585531457930266
1757,22:25:04:771,22.500000335276127,0.0,0.0,108.11798947851588,56.098151659755075
1758,22:25:04:787,22.500000335276127,0.0,0.0,108.11798947851588,56.098151659755075
1759,22:25:04:870,0.0,0.0,0.0,106.63972617027197,55.026590933319824
1760,22:25:04:874,0.0,0.0,0.0,105.69026341984986,54.34345663157374
1761,22:25:04:891,0.0,0.0,0.0,105.69026341984986,54.34345663157374
