tick,time,steerCmd,brakeCmd,throttleCmd,distance1,distance2,distanc3,Location_X,Location_Y,Location_Z,Rotation_Pitch,Rotation_Yaw,Rotation_Roll,distance3
0,21:33:14:061,0.0,0.6212635636329651,0.6212635636329651,162.82058372782478,366.91627124396194,,-433.8999938964844,34.900001525878906,0.6345405578613281,0.0,0.0,0.0,581.1872372357853
1,21:33:14:070,0.0,0.6212635636329651,0.6212635636329651,162.8213165988531,366.91913748275147,,-433.8999938964844,34.900001525878906,0.5497817397117615,0.0,0.0,0.0,581.1886092486412
2,21:33:14:096,0.0,0.6212635636329651,0.6212635636329651,162.82224464115237,366.9225681770314,,-433.8999938964844,34.900001525878906,0.4490828514099121,0.0,0.0,0.0,581.1902553498139
3,21:33:14:127,0.0,0.6212635636329651,0.6212635636329651,162.8243198543099,366.9296166459342,,-433.8999938964844,34.900001525878906,0.24468520283699036,0.0,0.0,0.0,581.1936502251159
4,21:33:14:151,0.0,0.6212635636329651,0.6212635636329651,162.8243198543099,366.9296166459342,,-433.8999938964844,34.900001525878906,0.24468520283699036,0.0,0.0,0.0,581.1936502251159
5,21:33:14:176,0.0,0.6212635636329651,0.6212635636329651,162.8243198543099,366.9296166459342,,-433.8999938964844,34.900001525878906,0.24468520283699036,0.0,0.0,0.0,581.1936502251159
6,21:33:14:201,0.0,0.6212635636329651,0.6212635636329651,162.8283880054135,366.941725823354,,-433.8999938964844,34.900001525878906,-0.09903179109096527,0.0,0.0,0.0,581.1995211098509
7,21:33:14:234,0.0,0.6212635636329651,0.6212635636329651,162.8268853816395,366.9399779213039,,-433.89862060546875,34.89948654174805,-0.08841388672590256,0.21481627225875854,-0.0005798339261673391,-0.349853515625,581.1979669305315
8,21:33:14:260,0.0,0.6212635636329651,0.6212635636329651,162.82640730670153,366.9393496396853,,-433.8982238769531,34.899322509765625,-0.08188316226005554,0.2786170542240143,-0.0014648438664153218,-0.4500732123851776,581.1974579907708
9,21:33:14:302,0.0,0.6212635636329651,0.6212635636329651,162.82614208574006,366.9389324163133,,-433.8980407714844,34.899166107177734,-0.07528255134820938,0.3120439946651459,-0.0020141596905887127,-0.4997557997703552,581.1971614507847
10,21:33:14:317,0.0,0.6212635636329651,0.6212635636329651,162.82614208574006,366.9389324163133,,-433.8980407714844,34.899166107177734,-0.07528255134820938,0.3120439946651459,-0.0020141596905887127,-0.4997557997703552,581.1971614507847
11,21:33:14:340,0.0,0.6212635636329651,0.6212635636329651,162.82591203769218,366.93827484832474,,-433.8980407714844,34.89878463745117,-0.056745681911706924,0.3092641234397888,-0.0019836423452943563,-0.48565673828125,581.1968428315216
12,21:33:14:365,0.0,0.6212635636329651,0.6212635636329651,162.82600185578337,366.9382479956147,,-433.898193359375,34.89870834350586,-0.05169059708714485,0.2913621962070465,-0.001708984375,-0.4557800889015198,581.1969084306244
13,21:33:14:393,0.0,0.6212635636329651,0.6212635636329651,162.82625376951577,366.9382875049898,,-433.8985595703125,34.89860153198242,-0.042489469051361084,0.24601657688617706,-0.0010375975398346782,-0.3831176459789276,581.1971162007319
14,21:33:14:419,0.0,0.6212635636329651,0.6212635636329651,162.82635766685354,366.9383008958004,,-433.8987121582031,34.89856719970703,-0.03856918215751648,0.22142788767814636,-0.000732421875,-0.3446350395679474,581.1972012560989
15,21:33:14:428,0.0,0.6212635636329651,0.6212635636329651,162.82641411794293,366.9382923863466,,-433.8988037109375,34.898555755615234,-0.03575244918465614,0.20237849652767181,-0.0005187989445403218,-0.315185546875,581.1972442217859
16,21:33:14:472,0.0,0.6212635636329651,0.6212635636329651,162.82659275328558,366.9384060116942,,-433.8990173339844,34.89854049682617,-0.03293846175074577,0.18169668316841125,-0.00030517578125,-0.2833862006664276,581.1974093224721
17,21:33:14:497,0.0,0.6212635636329651,0.6212635636329651,162.82673499089694,366.9384725024382,,-433.8995361328125,34.89853286743164,-0.025517042726278305,0.11868136376142502,0.00018579047173261642,-0.1875,581.197535804211
18,21:33:14:522,0.0,0.6212635636329651,0.6212635636329651,162.8270883090805,366.93868906349707,,-433.8996276855469,34.89854049682617,-0.023731384426355362,0.10147611796855927,0.0002859672240447253,-0.1614990085363388,581.1978607063191
